,assignments
SS2_16_249-2:E22_unique.bam,symp. neu.
SS2_16_249-2:E23_unique.bam,Hub
SS2_16_249-2:E24_unique.bam,symp. neu.
SS2_16_249-2:F2_unique.bam,symp. neu.
SS2_16_249-2:F3_unique.bam,ChC
SS2_16_249-2:F4_unique.bam,Hub
SS2_16_249-2:F5_unique.bam,Hub
SS2_16_249-2:F7_unique.bam,Hub
SS2_16_249-2:F8_unique.bam,Hub
SS2_16_249-2:F9_unique.bam,Hub
SS2_16_249-2:F10_unique.bam,Hub
SS2_16_249-2:F11_unique.bam,enteric neu.
SS2_16_249-2:F13_unique.bam,Hub
SS2_16_249-2:F14_unique.bam,ChC
SS2_16_249-2:F12_unique.bam,none
SS2_16_249-2:F15_unique.bam,none
SS2_16_249-2:F16_unique.bam,Hub
SS2_16_249-2:F18_unique.bam,ChC
SS2_16_249-2:F17_unique.bam,Hub
SS2_16_249-2:F19_unique.bam,Hub
SS2_16_249-2:F20_unique.bam,ChC
SS2_16_249-2:F21_unique.bam,ChC
SS2_16_249-2:F22_unique.bam,Hub
SS2_16_249-2:F23_unique.bam,Hub
SS2_16_249-2:F24_unique.bam,Hub
SS2_16_249-2:G1_unique.bam,ChC
SS2_16_249-2:G2_unique.bam,Hub
SS2_16_249-2:G3_unique.bam,Hub
SS2_16_249-2:G4_unique.bam,ChC
SS2_16_249-2:G5_unique.bam,Hub
SS2_16_249-2:G6_unique.bam,Hub
SS2_16_249-2:G8_unique.bam,Hub
SS2_16_249-2:G7_unique.bam,Hub
SS2_16_249-2:G9_unique.bam,Hub
SS2_16_249-2:G10_unique.bam,symp. neu.
SS2_16_249-2:G11_unique.bam,symp. neu.
SS2_16_249-2:G14_unique.bam,Hub
SS2_16_249-2:G12_unique.bam,Hub
SS2_16_249-2:G15_unique.bam,Hub
SS2_16_249-2:G13_unique.bam,Hub
SS2_16_249-2:G17_unique.bam,Hub
SS2_16_249-2:G16_unique.bam,ChC
SS2_16_249-2:G18_unique.bam,Hub
SS2_16_249-2:G19_unique.bam,ChC
SS2_16_249-2:G21_unique.bam,symp. neu.
SS2_16_249-2:G20_unique.bam,Hub
SS2_16_249-2:G22_unique.bam,Hub
SS2_16_249-2:G23_unique.bam,Hub
SS2_16_249-2:G24_unique.bam,Hub
SS2_16_249-2:H1_unique.bam,Hub
SS2_16_249-2:H2_unique.bam,Hub
SS2_16_249-2:H3_unique.bam,symp. neu.
SS2_16_249-2:H4_unique.bam,ChC
SS2_16_249-2:H7_unique.bam,Hub
SS2_16_249-2:H5_unique.bam,Hub
SS2_16_249-2:H6_unique.bam,Hub
SS2_16_249-2:H9_unique.bam,Hub
SS2_16_249-2:H8_unique.bam,ChC
SS2_16_249-2:H10_unique.bam,Hub
SS2_16_249-2:H13_unique.bam,Hub
SS2_16_249-2:H11_unique.bam,Hub
SS2_16_249-2:H12_unique.bam,Hub
SS2_16_249-2:H15_unique.bam,symp. neu.
SS2_16_249-2:H14_unique.bam,ChC
SS2_16_249-2:H18_unique.bam,none
SS2_16_249-2:H19_unique.bam,none
SS2_16_249-2:H16_unique.bam,Hub
SS2_16_249-2:H17_unique.bam,Hub
SS2_16_249-2:H21_unique.bam,Hub
SS2_16_249-2:H20_unique.bam,ChC
SS2_16_249-2:H22_unique.bam,Hub
SS2_16_249-2:H24_unique.bam,Hub
SS2_16_249-2:I1_unique.bam,Hub
SS2_16_249-2:H23_unique.bam,Hub
SS2_16_249-2:I2_unique.bam,Hub
SS2_16_249-2:I3_unique.bam,ChC
SS2_16_249-2:I4_unique.bam,none
SS2_16_249-2:I6_unique.bam,Hub
SS2_16_249-2:I5_unique.bam,Hub
SS2_16_249-2:I7_unique.bam,Hub
SS2_16_249-2:I8_unique.bam,Hub
SS2_16_249-2:I9_unique.bam,Hub
SS2_16_249-2:I10_unique.bam,Hub
SS2_16_249-2:I11_unique.bam,Hub
SS2_16_249-2:I12_unique.bam,Hub
SS2_16_249-2:I13_unique.bam,ChC
SS2_16_249-2:I14_unique.bam,Hub
SS2_16_249-2:I15_unique.bam,Hub
SS2_16_249-2:I17_unique.bam,none
SS2_16_249-2:I18_unique.bam,symp. neu.
SS2_16_249-2:I16_unique.bam,Hub
SS2_16_249-2:I19_unique.bam,Hub
SS2_16_249-2:I20_unique.bam,Hub
SS2_16_249-2:I22_unique.bam,Hub
SS2_16_249-2:I21_unique.bam,ChC
SS2_16_249-2:I23_unique.bam,Hub
SS2_16_249-2:I24_unique.bam,Hub
SS2_16_249-2:J1_unique.bam,ChC
SS2_16_249-2:J2_unique.bam,Hub
SS2_16_249-2:J3_unique.bam,ChC
SS2_16_249-2:J4_unique.bam,Hub
SS2_16_249-2:J6_unique.bam,symp. neu.
SS2_16_249-2:J5_unique.bam,enteric neu.
SS2_16_249-2:J7_unique.bam,symp. neu.
SS2_16_249-2:J8_unique.bam,Hub
SS2_16_249-2:J10_unique.bam,Hub
SS2_16_249-2:J9_unique.bam,Hub
SS2_16_249-2:J13_unique.bam,Hub
SS2_16_249-2:J12_unique.bam,Hub
SS2_16_249-2:J11_unique.bam,Hub
SS2_16_249-2:J14_unique.bam,Hub
SS2_16_249-2:J15_unique.bam,Hub
SS2_16_249-2:J16_unique.bam,Hub
SS2_16_249-2:J18_unique.bam,Hub
SS2_16_249-2:J19_unique.bam,Hub
SS2_16_249-2:J17_unique.bam,none
SS2_16_249-2:J20_unique.bam,none
SS2_16_249-2:J21_unique.bam,Hub
SS2_16_249-2:J22_unique.bam,Hub
SS2_16_249-2:J23_unique.bam,Hub
SS2_16_249-2:K1_unique.bam,Hub
SS2_16_249-2:J24_unique.bam,symp. neu.
SS2_16_249-2:K2_unique.bam,Hub
SS2_16_249-2:K3_unique.bam,symp. neu.
SS2_16_249-2:K4_unique.bam,ChC
SS2_16_249-2:K5_unique.bam,Hub
SS2_16_249-2:K6_unique.bam,Hub
SS2_16_249-2:K7_unique.bam,Hub
SS2_16_249-2:K8_unique.bam,Hub
SS2_16_249-2:K9_unique.bam,Hub
SS2_16_249-2:K12_unique.bam,Hub
SS2_16_249-2:K10_unique.bam,Hub
SS2_16_249-2:K11_unique.bam,Hub
SS2_16_249-2:K14_unique.bam,Hub
SS2_16_249-2:K13_unique.bam,ChC
SS2_16_249-2:K15_unique.bam,ChC
SS2_16_249-2:K18_unique.bam,Hub
SS2_16_249-2:K17_unique.bam,ChC
SS2_16_249-2:K16_unique.bam,symp. neu.
SS2_16_249-2:K20_unique.bam,ChC
SS2_16_249-2:K19_unique.bam,symp. neu.
SS2_16_249-2:K21_unique.bam,Hub
SS2_16_249-2:K22_unique.bam,Hub
SS2_16_249-2:K23_unique.bam,Hub
SS2_16_249-2:K24_unique.bam,Hub
SS2_16_249-2:L1_unique.bam,ChC
SS2_16_249-2:L2_unique.bam,ChC
SS2_16_249-2:L4_unique.bam,symp. neu.
SS2_16_249-2:L5_unique.bam,Hub
SS2_16_249-2:L3_unique.bam,ChC
SS2_16_249-2:L6_unique.bam,ChC
SS2_16_249-2:L7_unique.bam,ChC
SS2_16_249-2:L8_unique.bam,Hub
SS2_16_249-2:L9_unique.bam,Hub
SS2_16_249-2:L10_unique.bam,ChC
SS2_16_249-2:L11_unique.bam,enteric neu.
SS2_16_249-2:L13_unique.bam,ChC
SS2_16_249-2:L12_unique.bam,Hub
SS2_16_249-2:L14_unique.bam,Hub
SS2_16_249-2:L15_unique.bam,ChC
SS2_16_249-2:L16_unique.bam,none
SS2_16_249-2:L17_unique.bam,Hub
SS2_16_249-2:L18_unique.bam,Hub
SS2_16_249-2:L19_unique.bam,ChC
SS2_16_249-2:L20_unique.bam,symp. neu.
SS2_16_249-2:L22_unique.bam,ChC
SS2_16_249-2:L21_unique.bam,ChC
SS2_16_249-2:L23_unique.bam,ChC
SS2_16_249-2:M1_unique.bam,Hub
SS2_16_249-2:M2_unique.bam,Hub
SS2_16_249-2:L24_unique.bam,ChC
SS2_16_249-2:M3_unique.bam,Hub
SS2_16_249-2:M4_unique.bam,ChC
SS2_16_249-2:M5_unique.bam,Hub
SS2_16_249-2:M6_unique.bam,Hub
SS2_16_249-2:M7_unique.bam,Hub
SS2_16_249-2:M8_unique.bam,Hub
SS2_16_249-2:M9_unique.bam,Hub
SS2_16_249-2:M10_unique.bam,enteric neu.
SS2_16_249-2:M13_unique.bam,Hub
SS2_16_249-2:M11_unique.bam,Hub
SS2_16_249-2:M14_unique.bam,Hub
SS2_16_249-2:M12_unique.bam,Hub
SS2_16_249-2:M15_unique.bam,symp. neu.
SS2_16_249-2:M18_unique.bam,Hub
SS2_16_249-2:M19_unique.bam,Hub
SS2_16_249-2:M20_unique.bam,none
SS2_16_249-2:M17_unique.bam,Hub
SS2_16_249-2:M16_unique.bam,ChC
SS2_16_249-2:M22_unique.bam,Hub
SS2_16_249-2:M21_unique.bam,Hub
SS2_16_249-2:M24_unique.bam,Hub
SS2_16_249-2:N2_unique.bam,Hub
SS2_16_249-2:M23_unique.bam,Hub
SS2_16_249-2:N1_unique.bam,Hub
SS2_16_249-2:N5_unique.bam,ChC
SS2_16_249-2:N4_unique.bam,Hub
SS2_16_249-2:N6_unique.bam,Hub
SS2_16_249-2:N7_unique.bam,enteric neu.
SS2_16_249-2:N3_unique.bam,Hub
SS2_16_249-2:N8_unique.bam,Hub
SS2_16_249-2:N10_unique.bam,symp. neu.
SS2_16_249-2:N9_unique.bam,ChC
SS2_16_249-2:N11_unique.bam,Hub
SS2_16_249-2:N13_unique.bam,ChC
SS2_16_249-2:N12_unique.bam,Hub
SS2_16_249-2:N14_unique.bam,ChC
SS2_16_249-2:N15_unique.bam,ChC
SS2_16_249-2:N16_unique.bam,ChC
SS2_16_249-2:N17_unique.bam,ChC
SS2_16_249-2:N18_unique.bam,none
SS2_16_249-2:N19_unique.bam,symp. neu.
SS2_16_249-2:N21_unique.bam,Hub
SS2_16_249-2:N20_unique.bam,ChC
SS2_16_249-2:N22_unique.bam,Hub
SS2_16_249-2:N23_unique.bam,Hub
SS2_16_249-2:O1_unique.bam,ChC
SS2_16_249-2:N24_unique.bam,none
SS2_16_249-2:O2_unique.bam,Hub
SS2_16_249-2:O4_unique.bam,Hub
SS2_16_249-2:O5_unique.bam,Hub
SS2_16_249-2:O3_unique.bam,Hub
SS2_16_249-2:O7_unique.bam,Hub
SS2_16_249-2:O6_unique.bam,Hub
SS2_16_249-2:O8_unique.bam,Hub
SS2_16_249-2:O9_unique.bam,symp. neu.
SS2_16_249-2:O10_unique.bam,ChC
SS2_16_249-2:O11_unique.bam,ChC
SS2_16_249-2:O12_unique.bam,none
SS2_16_249-2:O13_unique.bam,Hub
SS2_16_249-2:O14_unique.bam,Hub
SS2_16_249-2:O17_unique.bam,Hub
SS2_16_249-2:O16_unique.bam,ChC
SS2_16_249-2:O18_unique.bam,Hub
SS2_16_249-2:O19_unique.bam,Hub
SS2_16_249-2:O20_unique.bam,ChC
SS2_16_249-2:O22_unique.bam,ChC
SS2_16_249-2:O21_unique.bam,Hub
SS2_16_249-2:O23_unique.bam,Hub
SS2_16_249-2:O24_unique.bam,Hub
SS2_16_249-2:P1_unique.bam,none
SS2_16_249-2:P4_unique.bam,ChC
SS2_16_249-2:P2_unique.bam,ChC
SS2_16_249-2:P5_unique.bam,Hub
SS2_16_249-2:P3_unique.bam,Hub
SS2_16_249-2:P6_unique.bam,Hub
SS2_16_249-2:P7_unique.bam,Hub
SS2_16_249-2:P9_unique.bam,none
SS2_16_249-2:P8_unique.bam,ChC
SS2_16_249-2:P11_unique.bam,ChC
SS2_16_249-2:P10_unique.bam,Hub
SS2_16_249-2:P12_unique.bam,Hub
SS2_16_249-2:P13_unique.bam,Hub
SS2_16_249-2:P14_unique.bam,Hub
SS2_16_249-2:P15_unique.bam,symp. neu.
SS2_16_249-2:P17_unique.bam,ChC
SS2_16_249-2:P16_unique.bam,Hub
SS2_16_249-2:P18_unique.bam,ChC
SS2_16_249-2:P19_unique.bam,ChC
SS2_16_249-2:P21_unique.bam,Hub
SS2_16_249-2:P20_unique.bam,ChC
SS2_16_249-2:P22_unique.bam,Hub
SS2_16_249-2:P24_unique.bam,Hub
SS2_16_249-2:P23_unique.bam,ChC
SS2_16_250-2:A1_unique.bam,Hub
SS2_16_250-2:A6_unique.bam,Hub
SS2_16_250-2:A5_unique.bam,Hub
SS2_16_250-2:A4_unique.bam,Hub
SS2_16_250-2:A2_unique.bam,Hub
SS2_16_250-2:A3_unique.bam,none
SS2_16_250-2:A10_unique.bam,Hub
SS2_16_250-2:A9_unique.bam,ChC
SS2_16_250-2:A8_unique.bam,ChC
SS2_16_250-2:A12_unique.bam,Hub
SS2_16_250-2:A7_unique.bam,none
SS2_16_250-2:A11_unique.bam,Hub
SS2_16_250-2:A16_unique.bam,Hub
SS2_16_250-2:A13_unique.bam,ChC
SS2_16_250-2:A15_unique.bam,symp. neu.
SS2_16_250-2:A17_unique.bam,Hub
SS2_16_250-2:A18_unique.bam,Hub
SS2_16_250-2:A14_unique.bam,symp. neu.
SS2_16_250-2:A21_unique.bam,symp. neu.
SS2_16_250-2:A20_unique.bam,none
SS2_16_250-2:A22_unique.bam,Hub
SS2_16_250-2:A24_unique.bam,none
SS2_16_250-2:A23_unique.bam,none
SS2_16_250-2:A19_unique.bam,ChC
SS2_16_250-2:B1_unique.bam,none
SS2_16_250-2:B5_unique.bam,symp. neu.
SS2_16_250-2:B6_unique.bam,symp. neu.
SS2_16_250-2:B2_unique.bam,ChC
SS2_16_250-2:B4_unique.bam,Hub
SS2_16_250-2:B3_unique.bam,symp. neu.
SS2_16_250-2:B7_unique.bam,symp. neu.
SS2_16_250-2:B8_unique.bam,none
SS2_16_250-2:B9_unique.bam,symp. neu.
SS2_16_250-2:B10_unique.bam,ChC
SS2_16_250-2:B11_unique.bam,symp. neu.
SS2_16_250-2:B12_unique.bam,Hub
SS2_16_250-2:B13_unique.bam,Hub
SS2_16_250-2:B14_unique.bam,ChC
SS2_16_250-2:B15_unique.bam,Hub
SS2_16_250-2:B16_unique.bam,ChC
SS2_16_250-2:B18_unique.bam,ChC
SS2_16_250-2:B17_unique.bam,none
SS2_16_250-2:B20_unique.bam,none
SS2_16_250-2:B19_unique.bam,symp. neu.
SS2_16_250-2:B21_unique.bam,symp. neu.
SS2_16_250-2:B24_unique.bam,symp. neu.
SS2_16_250-2:B23_unique.bam,symp. neu.
SS2_16_250-2:B22_unique.bam,symp. neu.
SS2_16_250-2:C1_unique.bam,ChC
SS2_16_250-2:C2_unique.bam,symp. neu.
SS2_16_250-2:C3_unique.bam,none
SS2_16_250-2:C5_unique.bam,Hub
SS2_16_250-2:C4_unique.bam,Hub
SS2_16_250-2:C6_unique.bam,none
SS2_16_250-2:C8_unique.bam,Hub
SS2_16_250-2:C7_unique.bam,Hub
SS2_16_250-2:C9_unique.bam,ChC
SS2_16_250-2:C10_unique.bam,Hub
SS2_16_250-2:C12_unique.bam,none
SS2_16_250-2:C14_unique.bam,ChC
SS2_16_250-2:C15_unique.bam,ChC
SS2_16_250-2:C13_unique.bam,ChC
SS2_16_250-2:C16_unique.bam,ChC
SS2_16_250-2:C17_unique.bam,none
SS2_16_250-2:C18_unique.bam,ChC
SS2_16_250-2:C19_unique.bam,symp. neu.
SS2_16_250-2:C20_unique.bam,none
SS2_16_250-2:C21_unique.bam,Hub
SS2_16_250-2:C22_unique.bam,Hub
SS2_16_250-2:C23_unique.bam,Hub
SS2_16_250-2:C24_unique.bam,ChC
SS2_16_250-2:D1_unique.bam,ChC
SS2_16_250-2:D2_unique.bam,ChC
SS2_16_250-2:D3_unique.bam,symp. neu.
SS2_16_250-2:D4_unique.bam,ChC
SS2_16_250-2:D5_unique.bam,Hub
SS2_16_250-2:D7_unique.bam,symp. neu.
SS2_16_250-2:D6_unique.bam,ChC
SS2_16_250-2:D10_unique.bam,symp. neu.
SS2_16_250-2:D9_unique.bam,symp. neu.
SS2_16_250-2:D13_unique.bam,symp. neu.
SS2_16_250-2:D12_unique.bam,Hub
SS2_16_250-2:D11_unique.bam,ChC
SS2_16_250-2:D14_unique.bam,ChC
SS2_16_250-2:D15_unique.bam,Hub
SS2_16_250-2:D16_unique.bam,none
SS2_16_250-2:D18_unique.bam,symp. neu.
SS2_16_250-2:D17_unique.bam,ChC
SS2_16_250-2:D19_unique.bam,ChC
SS2_16_250-2:D20_unique.bam,Hub
SS2_16_250-2:D21_unique.bam,symp. neu.
SS2_16_250-2:D23_unique.bam,symp. neu.
SS2_16_250-2:D22_unique.bam,ChC
SS2_16_250-2:D24_unique.bam,symp. neu.
SS2_16_250-2:E1_unique.bam,Hub
SS2_16_250-2:E2_unique.bam,symp. neu.
SS2_16_250-2:E3_unique.bam,symp. neu.
SS2_16_250-2:E5_unique.bam,Hub
SS2_16_250-2:E6_unique.bam,none
SS2_16_250-2:E9_unique.bam,ChC
SS2_16_250-2:E8_unique.bam,ChC
SS2_16_250-2:E10_unique.bam,none
SS2_16_250-2:E11_unique.bam,Hub
SS2_16_250-2:E12_unique.bam,ChC
SS2_16_250-2:E13_unique.bam,Hub
SS2_16_250-2:E15_unique.bam,Hub
SS2_16_250-2:E14_unique.bam,ChC
SS2_16_250-2:E16_unique.bam,none
SS2_16_250-2:E17_unique.bam,ChC
SS2_16_250-2:E18_unique.bam,ChC
SS2_16_250-2:E20_unique.bam,Hub
SS2_16_250-2:E19_unique.bam,Hub
SS2_16_250-2:E21_unique.bam,Hub
SS2_16_250-2:E22_unique.bam,ChC
SS2_16_250-2:E23_unique.bam,ChC
SS2_16_250-2:F2_unique.bam,none
SS2_16_250-2:F3_unique.bam,ChC
SS2_16_250-2:F4_unique.bam,ChC
SS2_16_250-2:F7_unique.bam,none
SS2_16_250-2:F9_unique.bam,ChC
SS2_16_250-2:F8_unique.bam,Hub
SS2_16_250-2:F10_unique.bam,Hub
SS2_16_250-2:F11_unique.bam,Hub
SS2_16_250-2:F12_unique.bam,ChC
SS2_16_250-2:F13_unique.bam,symp. neu.
SS2_16_250-2:F15_unique.bam,ChC
SS2_16_250-2:F14_unique.bam,ChC
SS2_16_250-2:F16_unique.bam,ChC
SS2_16_250-2:F17_unique.bam,ChC
SS2_16_250-2:F18_unique.bam,ChC
SS2_16_250-2:F19_unique.bam,ChC
SS2_16_250-2:F20_unique.bam,Hub
SS2_16_250-2:F22_unique.bam,Hub
SS2_16_250-2:F21_unique.bam,Hub
SS2_16_250-2:F23_unique.bam,symp. neu.
SS2_16_250-2:F24_unique.bam,Hub
SS2_16_250-2:G1_unique.bam,Hub
SS2_16_250-2:G3_unique.bam,symp. neu.
SS2_16_250-2:G2_unique.bam,Hub
SS2_16_250-2:G4_unique.bam,symp. neu.
SS2_16_250-2:G6_unique.bam,ChC
SS2_16_250-2:G7_unique.bam,symp. neu.
SS2_16_250-2:G9_unique.bam,symp. neu.
SS2_16_250-2:G8_unique.bam,none
SS2_16_250-2:G10_unique.bam,Hub
SS2_16_250-2:G11_unique.bam,ChC
SS2_16_250-2:G12_unique.bam,ChC
SS2_16_250-2:G13_unique.bam,ChC
SS2_16_250-2:G14_unique.bam,ChC
SS2_16_250-2:G15_unique.bam,ChC
SS2_16_250-2:G17_unique.bam,none
SS2_16_250-2:G18_unique.bam,symp. neu.
SS2_16_250-2:G16_unique.bam,Hub
SS2_16_250-2:G19_unique.bam,Hub
SS2_16_250-2:G20_unique.bam,symp. neu.
SS2_16_250-2:G23_unique.bam,none
SS2_16_250-2:G24_unique.bam,ChC
SS2_16_250-2:G22_unique.bam,Hub
SS2_16_250-2:G21_unique.bam,symp. neu.
SS2_16_250-2:H1_unique.bam,Hub
SS2_16_250-2:H3_unique.bam,ChC
SS2_16_250-2:H4_unique.bam,symp. neu.
SS2_16_250-2:H2_unique.bam,none
SS2_16_250-2:H5_unique.bam,symp. neu.
SS2_16_250-2:H6_unique.bam,Hub
SS2_16_250-2:H7_unique.bam,Hub
SS2_16_250-2:H10_unique.bam,none
SS2_16_250-2:H8_unique.bam,symp. neu.
SS2_16_250-2:H9_unique.bam,Hub
SS2_16_250-2:H11_unique.bam,Hub
SS2_16_250-2:H12_unique.bam,Hub
SS2_16_250-2:H13_unique.bam,symp. neu.
SS2_16_250-2:H15_unique.bam,Hub
SS2_16_250-2:H14_unique.bam,none
SS2_16_250-2:H17_unique.bam,ChC
SS2_16_250-2:H18_unique.bam,none
SS2_16_250-2:H16_unique.bam,ChC
SS2_16_250-2:H20_unique.bam,ChC
SS2_16_250-2:H21_unique.bam,Hub
SS2_16_250-2:H19_unique.bam,ChC
SS2_16_250-2:H22_unique.bam,symp. neu.
SS2_16_250-2:H23_unique.bam,ChC
SS2_16_250-2:H24_unique.bam,Hub
SS2_16_250-2:I1_unique.bam,symp. neu.
SS2_16_250-2:I4_unique.bam,ChC
SS2_16_250-2:I5_unique.bam,none
SS2_16_250-2:I6_unique.bam,Hub
SS2_16_250-2:I8_unique.bam,symp. neu.
SS2_16_250-2:I7_unique.bam,ChC
SS2_16_250-2:I9_unique.bam,symp. neu.
SS2_16_250-2:I10_unique.bam,ChC
SS2_16_250-2:I11_unique.bam,melanocytes
SS2_16_250-2:I12_unique.bam,ChC
SS2_16_250-2:I13_unique.bam,symp. neu.
SS2_16_250-2:I15_unique.bam,Hub
SS2_16_250-2:I14_unique.bam,Hub
SS2_16_250-2:I16_unique.bam,ChC
SS2_16_250-2:I17_unique.bam,Hub
SS2_16_250-2:I18_unique.bam,symp. neu.
SS2_16_250-2:I20_unique.bam,ChC
SS2_16_250-2:I21_unique.bam,Hub
SS2_16_250-2:I19_unique.bam,Hub
SS2_16_250-2:I22_unique.bam,ChC
SS2_16_250-2:I23_unique.bam,none
SS2_16_250-2:I24_unique.bam,symp. neu.
SS2_16_250-2:J1_unique.bam,Hub
SS2_16_250-2:J3_unique.bam,ChC
SS2_16_250-2:J2_unique.bam,symp. neu.
SS2_16_250-2:J5_unique.bam,symp. neu.
SS2_16_250-2:J6_unique.bam,Hub
SS2_16_250-2:J7_unique.bam,Hub
SS2_16_250-2:J9_unique.bam,none
SS2_16_250-2:J8_unique.bam,symp. neu.
SS2_16_250-2:J10_unique.bam,ChC
SS2_16_250-2:J11_unique.bam,ChC
SS2_16_250-2:J12_unique.bam,Hub
SS2_16_250-2:J13_unique.bam,ChC
SS2_16_250-2:J15_unique.bam,ChC
SS2_16_250-2:J14_unique.bam,ChC
SS2_16_250-2:J16_unique.bam,symp. neu.
SS2_16_250-2:J18_unique.bam,none
